data,Libya,Sebha_idp,Aljufra_idp,Aljufra_non_displaced,Tripoli_idp,Wadi Ashshati_non_displaced,Wadi Ashshati_idp,Aljfara_non_displaced,Sebha_non_displaced,Tripoli_non_displaced,Aljfara_idp,Ejdabia_non_displaced,Tripoli_returnee,Alkufra_idp,Sirt_non_displaced,Ghat_non_displaced,Al Jabal Al Gharbi_non_displaced,Derna_returnee,Azzawya_non_displaced,Zwara_non_displaced,Ejdabia_idp,Alkufra_non_displaced,Al Jabal Al Gharbi_idp,Sirt_returnee,Sirt_idp,Murzuq_non_displaced,Sebha_returnee,Misrata_non_displaced,Misrata_idp,Ghat_idp,Zwara_idp,Murzuq_idp,Al Jabal Al Gharbi_returnee,Alkufra_returnee,Benghazi_returnee,Benghazi_idp,Derna_non_displaced,Benghazi_non_displaced,Azzawya_idp,Aljfara_returnee,Derna_idp,Murzuq_returnee,Azzawya_returnee,Ubari_non_displaced,Ubari_idp,Zwara_returnee,Ghat_returnee,Misrata_returnee,Wadi Ashshati_returnee,Ubari_returnee,Ejdabia_returnee
"What were the main challenges that made your household abandon livestock production?
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Lack of veterinary services, vaccines, and medicines",13,6,,,100,17,0,20,20,0,0,,0,,,0,20,0,0,67,0,67,0,0,0,0,12,0,0,0,20,0,0,0,0,0,,,0,0,0,0,50,20,0,0,50,,0,17,
4. Lack of access to fodder/animal feed/pasture,21,18,,,100,33,0,20,20,0,0,,50,,,100,60,0,0,33,0,67,25,0,0,100,12,0,33,100,30,25,67,0,50,0,,,0,0,0,0,50,100,17,25,50,,50,8,
3. Have had to sell or slaughter animals for own consumption,18,6,,,0,33,75,80,0,0,29,,25,,,0,20,0,0,33,33,67,0,0,0,100,12,0,0,100,20,75,33,100,0,50,,,0,0,0,0,0,80,50,50,75,,25,83,
8. Animals have been stolen,18,65,,,0,33,25,60,60,0,71,,50,,,0,0,0,0,67,67,0,75,33,33,0,38,0,0,0,20,25,0,0,0,0,,,80,67,100,100,50,40,67,25,0,,50,25,
2. Animals have been affected by diseases,18,0,,,0,0,0,0,20,0,0,,0,,,100,0,0,0,33,0,0,0,33,33,0,0,100,0,0,0,25,33,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,
Other (specify),17,41,,,0,0,25,0,20,0,0,,0,,,0,40,0,100,0,0,33,25,0,0,0,38,0,67,0,40,0,33,0,50,50,,,20,0,0,0,0,0,17,0,0,,0,0,
1. Animals have died,6,12,,,0,17,0,20,20,0,0,,0,,,0,20,0,0,0,0,33,0,67,100,0,12,0,0,0,0,0,0,0,0,0,,,20,33,67,0,0,0,17,25,25,,0,0,
5. Lack of access to water,4,6,,,100,0,0,20,20,0,0,,25,,,0,0,0,0,0,0,0,0,0,0,0,12,0,33,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,
7. Lack of labor to care for animals ,35,6,,,100,17,0,20,0,100,0,,0,,,0,20,100,0,33,0,0,0,0,0,0,0,0,0,0,0,25,0,100,0,0,,,0,0,0,0,0,0,33,0,0,,0,0,
What were the main challenges that made your household abandon fishing/fisheries?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3. Insecurity increased,91,,,,,,0,,,,,,0,,,,100,100,,,,,,,,,,,,0,,,,,,0,,100,100,,,,0,,,0,,,,,
5. Unable to access or afford fuel,2,,,,,,0,,,,,,0,,,,0,0,,,,,,,,,,,,100,,,,,,0,,0,0,,,,0,,,100,,,,,
2. Unable to access markets/sell production,5,,,,,,0,,,,,,100,,,,0,0,,,,,,,,,,,,0,,,,,,0,,0,0,,,,0,,,0,,,,,
7. Equipment damaged or stolen,3,,,,,,0,,,,,,0,,,,0,0,,,,,,,,,,,,0,,,,,,100,,0,50,,,,100,,,0,,,,,
4. Pollution increased,0,,,,,,0,,,,,,0,,,,0,0,,,,,,,,,,,,0,,,,,,0,,0,0,,,,0,,,0,,,,,
1. Catches decreased,1,,,,,,0,,,,,,0,,,,0,0,,,,,,,,,,,,100,,,,,,0,,0,0,,,,0,,,0,,,,,
Other (specify),4,,,,,,100,,,,,,0,,,,0,100,,,,,,,,,,,,0,,,,,,0,,0,0,,,,0,,,0,,,,,
8. Unable to access or afford labour,0,,,,,,0,,,,,,0,,,,0,0,,,,,,,,,,,,0,,,,,,0,,0,0,,,,0,,,0,,,,,
6. Unable to access or afford equipment,3,,,,,,0,,,,,,0,,,,0,0,,,,,,,,,,,,0,,,,,,100,,0,0,,,,0,,,0,,,,,
"How many individuals did your household employ to support production in the last 12 months, including seasonal workers?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,14.92621279842,2.75,3,2.11111111111111,2.83333333333333,1.21428571428571,6.66666666666667,2.09090909090909,1.92592592592593,3,2,1,3,1,3.66666666666667,3,0.615384615384615,4.75,2.45454545454545,1.08,0,2.29032258064516,1000.6,1,,0.970588235294118,2.2,2.81081081081081,1,1,1,1,1002.2,4,2,0,2,,3000.5,0.9,,0.857142857142857,1.5,1.65957446808511,1.88888888888889,0.5,2,0.5,1.5,1.5,2.75
How much land does your household cultivate in hectares?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,2246.86626503698,5.75,2,2.44444444444444,3.66666666666667,10.3571428571429,1.33333333333333,2278.45454545455,7.33333333333333,3,3.6,2.33333333333333,4.66666666666667,2,669.333333333333,2.375,10385.4615384615,10.75,12569,3022.16,4,1.93548387096774,801.4,2,,11.0588235294118,8.8,4.2972972972973,4.14285714285714,1.5,4,10.6,501.4,1,15,1,2,,13000,3.3,,10.8571428571429,20000,11,14.2222222222222,557.722222222222,2,1,5.91666666666667,2.5,2.75
What are the main crops your household grows?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4. Maize,4,0,0,0,0,7,0,18,7,0,20,33,0,0,0,12,0,25,0,4,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,,0,0,11,0,6,0,0,0,17,0
14. Melons,9,100,0,0,0,14,33,27,44,0,40,33,0,0,0,0,0,0,9,4,0,0,0,0,,50,40,3,0,0,0,0,0,0,0,0,0,,0,30,,43,0,53,11,0,0,0,0,17,50
20. Cotton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
10. Cauliflower,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
19. Fodder crops,13,75,0,0,0,43,0,27,81,0,20,0,0,0,0,50,0,0,14,52,0,39,0,0,,6,80,0,0,0,75,0,0,0,0,0,0,,50,0,,0,50,47,11,72,50,0,58,0,0
16. Olives,52,0,0,0,50,0,33,27,70,100,20,67,33,0,0,0,46,25,36,60,100,13,0,0,,44,60,19,0,0,50,0,80,100,0,100,100,,0,20,,29,0,13,11,89,0,50,0,17,75
15. Dates,36,75,100,100,67,79,67,0,89,100,0,0,67,0,0,50,0,0,14,12,100,97,0,0,,71,80,14,0,0,0,20,0,100,0,0,0,,0,0,,100,0,55,78,6,50,25,75,17,0
8. Cucumbers,19,0,0,0,17,0,0,64,4,0,80,33,0,43,0,12,8,0,41,20,0,13,40,0,,9,0,41,43,50,25,0,0,0,0,0,0,,0,50,,0,0,28,0,17,0,0,17,33,0
12. Leafy greens,31,75,0,0,17,36,67,82,89,0,80,0,0,0,0,25,8,0,45,12,0,16,20,0,,50,80,65,57,0,50,20,0,0,0,100,100,,50,60,,71,0,43,11,11,0,50,33,33,0
Other (specify),5,25,0,0,0,0,0,18,0,0,0,33,0,0,0,0,8,0,5,0,0,3,20,0,,0,0,5,0,0,0,0,20,0,0,0,0,,0,40,,0,0,9,0,0,0,0,0,17,0
"5. Pulses (beans, chickpeas, nuts, etc.)",6,0,0,0,0,7,0,9,4,0,0,0,0,0,0,12,0,25,23,0,0,16,0,100,,0,0,5,0,100,0,0,0,100,0,0,0,,0,0,,0,0,2,11,0,50,0,0,17,0
3. Barley,29,25,0,0,33,57,0,45,41,0,20,0,0,29,67,25,38,75,23,36,0,0,40,100,,82,20,5,7,0,50,100,80,0,100,0,100,,0,0,,100,50,45,89,28,50,25,25,17,25
1. Irrigated wheat,7,0,0,0,0,0,0,0,15,0,0,0,33,71,0,38,0,50,9,20,0,0,0,100,,0,20,8,21,100,0,0,0,0,0,0,0,,0,0,,0,0,9,11,17,50,0,0,17,25
17. Oil seeds,24,0,0,0,17,0,0,9,0,100,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
9. Peppers,27,0,0,0,17,0,0,73,11,0,80,67,0,14,33,0,15,0,64,56,0,16,40,0,,3,0,35,36,0,25,0,0,0,0,0,0,,50,60,,0,0,23,22,56,0,0,0,50,25
"13. Citrus fruits (lemons, oranges, etc.)",45,0,0,0,100,21,0,73,41,100,40,33,67,14,0,0,8,50,32,0,0,19,0,0,,47,40,22,0,0,25,20,0,0,0,0,100,,0,20,,57,0,11,56,0,50,0,8,0,75
2. Rainfed wheat,8,0,0,0,67,14,0,27,4,0,0,0,67,0,33,0,15,25,9,20,0,0,20,0,,0,0,0,0,0,0,0,20,0,0,0,0,,0,0,,0,50,0,0,17,0,0,0,0,25
18. Medicinal and aromatic plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
11. Onions,24,75,0,0,17,29,67,64,52,0,60,33,0,57,0,12,8,0,55,60,0,35,20,0,,44,40,16,0,0,50,0,0,0,0,100,0,,50,20,,57,50,55,33,56,0,25,25,33,0
7. Tomatoes,33,50,0,0,17,0,0,82,0,0,80,67,33,43,67,25,15,25,73,48,0,19,40,0,,24,0,65,50,50,25,0,0,100,0,0,0,,0,60,,0,50,51,11,61,0,25,0,50,0
6. Potatoes or other tubers,14,75,0,0,17,0,0,45,22,0,80,0,0,29,67,0,8,0,32,24,0,13,0,0,,3,0,16,7,0,0,0,0,100,0,0,0,,0,10,,0,0,9,0,17,0,0,0,0,0
Has the ongoing conflict since 2014 negatively affected your household's crop production?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Yes,67,100,100,39,67,50,67,55,96,100,100,33,67,86,100,88,23,100,59,96,100,84,80,100,,100,100,14,7,100,100,100,60,100,0,100,100,,50,100,,100,50,87,100,100,100,50,83,100,25
No,33,0,0,61,33,50,33,45,4,0,0,67,33,14,0,12,77,0,41,4,0,16,20,0,,0,0,86,93,0,0,0,40,0,100,0,0,,50,0,,0,50,13,0,0,0,50,17,0,75
How has it negatively affected your household's crop production?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7. Unable to access or afford fuel/tools/machinery,12,0,0,86,0,14,100,17,50,0,0,0,0,0,0,57,0,0,8,8,0,12,0,100,,44,20,20,0,50,0,80,0,0,,0,0,,0,0,,29,0,68,56,22,50,0,10,67,0
9. Unable to access or afford labor,17,0,0,14,0,0,0,33,15,0,0,100,0,83,33,43,33,0,31,4,0,35,0,0,,3,0,20,0,50,0,20,0,0,,0,0,,0,0,,0,100,12,0,11,50,50,0,50,0
3. Crops stolen/seized/destroyed,7,0,0,0,50,0,0,50,0,0,0,0,0,0,0,14,0,75,8,4,100,0,0,0,,3,20,0,0,0,0,0,0,0,,0,0,,0,10,,0,0,2,0,0,0,0,0,0,0
6. Unable to access or afford clean water resources,4,0,0,0,0,0,0,0,35,0,0,0,0,0,67,0,0,0,8,12,0,4,0,0,,3,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,17,0,0,0,17,0
2. Had to leave our land due to displacement,5,100,0,0,25,0,0,0,0,0,80,0,0,33,0,0,0,75,0,12,100,0,100,0,,0,60,0,0,0,75,20,67,100,,100,0,,100,100,,14,0,7,22,17,0,0,40,33,0
4. Unable to access or afford seeds,11,0,0,0,0,14,0,0,0,0,0,0,0,83,33,14,0,0,8,12,0,12,0,100,,6,0,40,0,0,0,0,0,0,,100,0,,0,0,,14,0,10,11,11,0,50,0,33,100
"8. Pests (rats, insects, birds, etc.) and diseases",1,0,0,43,0,0,50,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,,6,0,0,0,50,0,0,0,0,,0,0,,0,0,,0,0,5,0,0,0,0,0,0,0
Other (specify),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
"11. Not economically viable (i.e., production costs too high compared to benefits)",10,0,0,0,0,0,0,17,0,0,0,0,0,0,0,29,0,0,15,8,0,65,0,0,,9,0,40,0,0,50,0,0,0,,0,0,,0,0,,0,0,7,0,0,0,50,10,33,0
"10. Unable to access markets, storage and processing facilities",6,0,100,29,0,0,0,17,0,0,0,0,0,0,0,0,33,0,15,0,0,0,0,0,,0,0,0,100,0,0,0,0,0,,0,0,,0,0,,0,0,5,0,0,0,0,0,17,0
13. Power cuts,44,75,100,100,25,86,50,83,100,0,0,0,50,17,33,71,67,25,85,92,0,65,0,0,,97,80,0,0,50,50,80,0,0,,0,100,,0,10,,100,100,88,100,100,100,100,90,50,0
1. Unable to access or afford land,4,25,0,0,0,14,0,0,0,0,0,0,50,0,33,0,0,0,8,12,0,0,0,0,,0,0,0,0,0,0,0,33,0,,0,0,,0,0,,14,0,2,0,17,0,50,0,17,0
12. Insecurity,41,100,0,0,50,14,50,17,85,100,20,0,50,0,0,0,33,0,62,25,0,31,0,0,,12,100,0,0,0,25,20,0,0,,0,0,,0,20,,0,100,22,67,6,0,0,20,50,0
5. Unable to access or afford fertilizers and pesticides,25,0,100,71,0,29,0,0,15,0,0,100,0,33,0,57,33,25,46,17,0,31,0,100,,62,0,40,100,0,25,40,0,0,,100,0,,0,0,,100,100,46,22,11,50,0,20,67,100
1. Cattle/cows,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,2.34129240849427,0,,0,0,0.647058823529412,0,2.7,0.3,0,4.57142857142857,0,0,0,0.625,0,0.55,4,1.65217391304348,0.5,0,0,1.07142857142857,10,2,0,0.266666666666667,0.75,0,0,2.75,0,0,0,,3,7.64705882352941,10,0,1.22222222222222,7.9,0,0.6,0.451612903225806,0,0.238095238095238,0,,0.222222222222222,1,0
2. Donkeys/Horses,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.104914511169781,0.166666666666667,,0,0.666666666666667,0.117647058823529,0,0,0.8,0,0,0,1,0,0.125,0,0.325,0,0.173913043478261,0.075,0,0,0,0,0,0.347826086956522,0.333333333333333,0,0,0,0,0,0.208333333333333,0,,0,0.470588235294118,0,0,0,0.2,0,0,0.129032258064516,0.142857142857143,0.142857142857143,0,,0,0,0
3. Sheep,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,21.5698423924389,8.5,,15.6666666666667,17.3333333333333,12.7647058823529,4.2,27.6,19.825,17.6666666666667,19.7142857142857,42.875,29.5,24,79.125,10.5555555555556,35.525,26.125,55.0869565217391,15.625,0,15.3076923076923,18.2142857142857,40,11.2,29.4782608695652,13.0666666666667,7.75,2.4,3,34.75,9,53.4583333333333,6.75,,7,9.23529411764706,6,16,18.2222222222222,6.7,26.7692307692308,6,34.3548387096774,24.4285714285714,8.09523809523809,3,,10.2222222222222,10,300
4. Goats,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,6.39866854494682,5.25,,10,2,11.7058823529412,5.8,13.3,13.575,0,7.57142857142857,22.5,0,8,27,11.4444444444444,14.15,4.25,7.8695652173913,5.375,13,6.73076923076923,8.85714285714286,5,4.4,12.4347826086957,11.2666666666667,2.25,7.6,6,10,8.22222222222222,14.5833333333333,5.5,,0,3.94117647058824,4,3,6.66666666666667,8.1,11.9230769230769,6.8,11.6774193548387,9,2.47619047619048,7,,8,6.5,130
5. Poultry,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,13.1663125127443,1.66666666666667,,3.33333333333333,19,3.29411764705882,0,28,12.95,0,9.14285714285714,3.75,0,20,13,6.33333333333333,13.975,9.5,12.3913043478261,10.175,0,7.65384615384615,6.21428571428571,0,1,2.34782608695652,9.06666666666667,3.5,10.2,0,10,6.33333333333333,6.875,5,,20,6.47058823529412,0,7,18.8888888888889,7.7,1.92307692307692,15.4,7.41935483870968,6.57142857142857,195.809523809524,5,,2.22222222222222,1000,0
6. Camels,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.495526259570875,4.08333333333333,,0,0,1.35294117647059,0.4,0.3,3.85,0,0,0.125,1,0,0,0,0.65,0,0,1.875,0,4.38461538461539,3.21428571428571,0,0,6.04347826086957,1.26666666666667,0,0,0,0,2.66666666666667,0.416666666666667,7.5,,0,0,0,0,0,0,7.30769230769231,0,1,0.285714285714286,0,0,,0,0,0
7. Bee hives,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.70419512551675,0,,0,0,0,0,0.2,0,1.66666666666667,0.285714285714286,0,0,0,0,0.222222222222222,1,0.5,2.43478260869565,0.925,0,0.0384615384615385,0.142857142857143,0,0,0,0,0,0,0,0,0,1.25,0,,0,0.352941176470588,0,0,0.111111111111111,0.2,1.15384615384615,0,0,0.285714285714286,0.0952380952380952,0,,0,0,0
8. Other (specify),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.00263040258080399,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,,0,0,0,0,1.11111111111111,0,0,0,0,0,0,0,,0,0,0
Has the ongoing conflict since 2014 negatively affected your household's production?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Yes,61,92,,100,67,59,100,60,88,100,100,75,50,100,50,67,50,62,57,85,0,92,79,100,100,96,80,25,60,0,75,100,75,100,,100,59,0,100,100,50,92,80,84,71,62,50,,89,100,50
No,39,8,,0,33,41,0,40,12,0,0,25,50,0,50,33,50,38,43,15,100,8,21,0,0,4,20,75,40,100,25,0,25,0,,0,41,100,0,0,50,8,20,16,29,38,50,,11,0,50
How has it negatively affected your household's production?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Lack of veterinary services, vaccines, and medicines",30,9,,33,0,40,40,33,66,33,0,17,100,100,0,50,20,20,38,47,,29,27,0,0,68,58,0,67,,100,33,33,25,,0,20,,100,0,60,92,0,50,40,15,0,,25,100,100
4. Lack of access to fodder/animal feed/pasture,53,64,,100,0,60,20,17,31,33,14,100,0,0,100,83,75,40,46,65,,33,27,100,100,27,33,100,33,,100,78,67,25,,100,0,,100,0,0,50,50,62,80,15,0,,62,50,100
3. Have had to sell or slaughter animals for own consumption,22,18,,100,50,30,0,0,20,0,0,17,0,0,0,33,45,80,54,38,,83,36,0,20,32,25,0,0,,33,44,28,100,,0,70,,0,11,60,25,50,50,80,54,0,,38,0,0
8. Animals have been stolen,16,36,,0,50,30,60,83,54,0,86,0,0,0,0,17,10,20,23,15,,0,18,0,40,9,75,0,0,,33,11,11,0,,0,0,,0,89,0,8,75,23,0,31,0,,62,100,0
2. Animals have been affected by diseases,20,0,,0,0,10,40,0,17,0,0,0,0,0,25,0,5,0,8,12,,0,9,0,0,68,0,100,100,,0,33,22,25,,0,50,,0,11,0,67,0,4,0,15,0,,25,0,0
Other (specify),2,9,,0,50,20,0,0,0,0,0,0,0,0,0,0,10,0,0,3,,4,9,0,0,0,0,0,0,,0,0,6,0,,0,0,,0,0,0,0,0,4,0,0,0,,0,0,0
1. Animals have died,2,0,,0,0,0,60,0,0,0,14,0,0,0,0,17,10,20,8,0,,4,18,0,0,14,0,0,0,,0,0,11,0,,0,0,,0,11,0,0,50,4,0,8,0,,0,0,0
5. Lack of access to water,12,18,,0,0,10,0,0,31,33,0,0,0,0,25,17,0,0,8,15,,0,0,0,0,14,17,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,8,0,,12,0,0
7. Lack of labor to care for animals ,27,0,,0,0,10,0,33,14,67,14,0,0,100,0,50,20,40,23,12,,25,18,0,0,23,0,0,0,,0,0,0,0,,0,20,,0,11,40,0,0,46,20,8,100,,0,50,100
What type of shelter does your household live in?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2. House,74,57,55,67,58,92,50,84,78,72,68,88,62,25,81,86,85,57,80,78,61,75,63,62,71,85,63,91,72,60,56,79,83,63,85,35,62,45,45,100,64,87,55,68,44,89,84,89,91,78,100
1. Apartment,24,43,43,28,32,6,40,16,22,25,27,10,37,75,19,12,14,41,20,21,34,25,33,37,19,12,37,9,26,5,43,21,17,33,11,60,38,50,53,0,35,13,45,30,29,11,3,11,9,22,0
3. Unfinished room(s),1,0,0,0,0,0,2,0,0,2,0,1,2,0,0,2,1,2,0,0,2,0,3,0,6,0,0,0,1,25,0,0,0,0,2,3,0,2,0,0,1,0,0,1,0,0,7,0,0,0,0
Other (specify),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8. Connection house,0,0,3,5,5,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,1,1,3,2,0,0,1,1,0,0,0,2,0,1,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5. Private building not usually used for shelter (basement, garage, store, warehouse, work site, etc.)",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4. Public building not usually used for shelter (school, mosque, etc.)",0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
9. Hotel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6. Tent or caravan,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
7. Temporary shelter provided by INGO or local NGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10. Camp or informal settlement for displaced persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How many rooms are in your household's shelter?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,3.91343850018263,5.50485436893204,14.7808219178082,2.78095238095238,3.25373134328358,4.63461538461539,3.28205128205128,4.11290322580645,8.45652173913044,3.63218390804598,3.70175438596491,4.31944444444444,3.3125,2.91525423728814,3.22222222222222,3.72941176470588,3.43243243243243,3.02857142857143,3.53398058252427,3.1875,3.64044943820225,4.43396226415094,3.05825242718447,3.125,2.97802197802198,3.33333333333333,6.18292682926829,3.74285714285714,3.13592233009709,3.04210526315789,2.87951807228916,3.13157894736842,2.96116504854369,4.32692307692308,4.89473684210526,3.73684210526316,2.81944444444444,4.75609756097561,3.02083333333333,4.91666666666667,8.48611111111111,3.82608695652174,3.29787234042553,4.58823529411765,3.33962264150943,3.4320987654321,3.328125,2.89473684210526,4,3.11111111111111,4.42105263157895
How would you describe your household's occupancy status?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1. Ownership ,88,17,0,97,27,92,0,98,85,91,12,78,88,3,87,96,96,75,83,93,9,83,9,70,0,92,88,94,8,64,11,29,93,69,95,19,89,95,1,100,21,83,94,91,4,88,81,63,79,59,98
2. Rental (with written contract),5,9,0,0,31,2,10,2,3,3,30,0,10,49,8,2,1,10,13,3,0,8,15,19,40,2,0,4,42,6,15,16,0,20,3,22,10,2,42,0,69,0,6,2,3,4,10,5,0,0,0
3. Rental (with verbal agreement),3,65,100,3,26,4,55,0,4,1,35,7,1,7,3,0,1,3,2,4,61,4,26,6,32,2,6,2,12,3,46,32,2,4,0,35,0,0,15,0,7,9,0,5,42,7,4,11,9,41,2
4. Being hosted for free,2,8,0,0,15,2,24,0,8,2,22,0,1,37,2,1,2,6,2,0,29,5,41,4,26,2,5,0,30,23,21,21,4,7,1,21,0,1,41,0,0,9,0,2,22,1,4,21,9,0,0
6. Housing provided by public authority,1,0,0,0,0,0,2,0,0,1,0,15,1,0,0,0,0,1,0,0,0,0,9,0,1,1,0,0,5,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,3,0,0
7. Housing provided by employer,0,1,0,0,0,0,5,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Other (specify),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5. Squatting (without consent of owner),0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Don't know,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
How much does your household's rental property cost per month (in LYD)?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
